x A1n
1.0000000E-05 -4.6525467E-03
1.0009900E-02 -4.2561896E-02
2.0009800E-02 -7.0624951E-02
3.0009700E-02 -9.1796389E-02
4.0009600E-02 -1.0794877E-01
5.0009500E-02 -1.2032617E-01
6.0009400E-02 -1.2978721E-01
7.0009300E-02 -1.3694346E-01
8.0009200E-02 -1.4224216E-01
9.0009100E-02 -1.4601779E-01
1.0000900E-01 -1.4852537E-01
1.1000890E-01 -1.4996258E-01
1.2000880E-01 -1.5048494E-01
1.3000870E-01 -1.5021632E-01
1.4000860E-01 -1.4925651E-01
1.5000850E-01 -1.4768672E-01
1.6000840E-01 -1.4557357E-01
1.7000830E-01 -1.4297215E-01
1.8000820E-01 -1.3992832E-01
1.9000810E-01 -1.3648047E-01
2.0000800E-01 -1.3266088E-01
2.1000790E-01 -1.2849681E-01
2.2000780E-01 -1.2401136E-01
2.3000770E-01 -1.1922414E-01
2.4000760E-01 -1.1415180E-01
2.5000750E-01 -1.0880852E-01
2.6000740E-01 -1.0320633E-01
2.7000730E-01 -9.7355422E-02
2.8000720E-01 -9.1264417E-02
2.9000710E-01 -8.4940537E-02
3.0000700E-01 -7.8389796E-02
3.1000690E-01 -7.1617133E-02
3.2000680E-01 -6.4626541E-02
3.3000670E-01 -5.7421161E-02
3.4000660E-01 -5.0003370E-02
3.5000650E-01 -4.2374858E-02
3.6000640E-01 -3.4536683E-02
3.7000630E-01 -2.6489329E-02
3.8000620E-01 -1.8232752E-02
3.9000610E-01 -9.7664145E-03
4.0000600E-01 -1.0893199E-03
4.1000590E-01 7.7999568E-03
4.2000580E-01 1.6903247E-02
4.3000570E-01 2.6222768E-02
4.4000560E-01 3.5761103E-02
4.5000550E-01 4.5521188E-02
4.6000540E-01 5.5506300E-02
4.7000530E-01 6.5720040E-02
4.8000520E-01 7.6166332E-02
4.9000510E-01 8.6849406E-02
5.0000500E-01 9.7773799E-02
5.1000490E-01 1.0894434E-01
5.2000480E-01 1.2036615E-01
5.3000470E-01 1.3204464E-01
5.4000460E-01 1.4398548E-01
5.5000450E-01 1.5619465E-01
5.6000440E-01 1.6867836E-01
5.7000430E-01 1.8144310E-01
5.8000420E-01 1.9449560E-01
5.9000410E-01 2.0784286E-01
6.0000400E-01 2.2149208E-01
6.1000390E-01 2.3545070E-01
6.2000380E-01 2.4972635E-01
6.3000370E-01 2.6432685E-01
6.4000360E-01 2.7926019E-01
6.5000350E-01 2.9453447E-01
6.6000340E-01 3.1015791E-01
6.7000330E-01 3.2613879E-01
6.8000320E-01 3.4248538E-01
6.9000310E-01 3.5920591E-01
7.0000300E-01 3.7630849E-01
7.1000290E-01 3.9380104E-01
7.2000280E-01 4.1169117E-01
7.3000270E-01 4.2998604E-01
7.4000260E-01 4.4869229E-01
7.5000250E-01 4.6781580E-01
7.6000240E-01 4.8736151E-01
7.7000230E-01 5.0733317E-01
7.8000220E-01 5.2773308E-01
7.9000210E-01 5.4856170E-01
8.0000200E-01 5.6981724E-01
8.1000190E-01 5.9149520E-01
8.2000180E-01 6.1358769E-01
8.3000170E-01 6.3608274E-01
8.4000160E-01 6.5896341E-01
8.5000150E-01 6.8220665E-01
8.6000140E-01 7.0578200E-01
8.7000130E-01 7.2964987E-01
8.8000120E-01 7.5375947E-01
8.9000110E-01 7.7804615E-01
9.0000100E-01 8.0242800E-01
9.1000090E-01 8.2680135E-01
9.2000080E-01 8.5103488E-01
9.3000070E-01 8.7496136E-01
9.4000060E-01 8.9836606E-01
9.5000050E-01 9.2096921E-01
9.6000040E-01 9.4239813E-01
9.7000030E-01 9.6213833E-01
9.8000020E-01 9.7943488E-01
9.9000010E-01 9.9304053E-01
