x            A1n
0.10000E-03  -0.39922E-02
0.12500E-03  -0.44436E-02
0.15000E-03  -0.48531E-02
0.17500E-03  -0.52308E-02
0.20000E-03  -0.55834E-02
0.22500E-03  -0.59154E-02
0.25000E-03  -0.62303E-02
0.27500E-03  -0.65305E-02
0.30000E-03  -0.68181E-02
0.32500E-03  -0.70944E-02
0.35000E-03  -0.73609E-02
0.37500E-03  -0.76185E-02
0.40000E-03  -0.78681E-02
0.42500E-03  -0.81104E-02
0.45000E-03  -0.83461E-02
0.47500E-03  -0.85757E-02
0.50000E-03  -0.87997E-02
0.52500E-03  -0.90185E-02
0.55000E-03  -0.92324E-02
0.57500E-03  -0.94417E-02
0.60000E-03  -0.96469E-02
0.62500E-03  -0.98480E-02
0.65000E-03  -0.10045E-01
0.67500E-03  -0.10239E-01
0.70000E-03  -0.10430E-01
0.72500E-03  -0.10617E-01
0.75000E-03  -0.10801E-01
0.77500E-03  -0.10983E-01
0.80000E-03  -0.11162E-01
0.82500E-03  -0.11338E-01
0.85000E-03  -0.11511E-01
0.87500E-03  -0.11683E-01
0.90000E-03  -0.11851E-01
0.92500E-03  -0.12018E-01
0.95000E-03  -0.12183E-01
0.97500E-03  -0.12346E-01
0.10000E-02  -0.12506E-01
0.12500E-02  -0.14019E-01
0.15000E-02  -0.15395E-01
0.17500E-02  -0.16665E-01
0.20000E-02  -0.17852E-01
0.22500E-02  -0.18970E-01
0.25000E-02  -0.20030E-01
0.27500E-02  -0.21040E-01
0.30000E-02  -0.22006E-01
0.32500E-02  -0.22934E-01
0.35000E-02  -0.23828E-01
0.37500E-02  -0.24691E-01
0.40000E-02  -0.25526E-01
0.42500E-02  -0.26335E-01
0.45000E-02  -0.27122E-01
0.47500E-02  -0.27886E-01
0.50000E-02  -0.28631E-01
0.52500E-02  -0.29357E-01
0.55000E-02  -0.30066E-01
0.57500E-02  -0.30759E-01
0.60000E-02  -0.31436E-01
0.62500E-02  -0.32100E-01
0.65000E-02  -0.32749E-01
0.67500E-02  -0.33386E-01
0.70000E-02  -0.34010E-01
0.72500E-02  -0.34623E-01
0.75000E-02  -0.35225E-01
0.77500E-02  -0.35816E-01
0.80000E-02  -0.36398E-01
0.82500E-02  -0.36969E-01
0.85000E-02  -0.37531E-01
0.87500E-02  -0.38085E-01
0.90000E-02  -0.38630E-01
0.92500E-02  -0.39166E-01
0.95000E-02  -0.39695E-01
0.97500E-02  -0.40216E-01
0.10000E-01  -0.40730E-01
0.12500E-01  -0.45509E-01
0.15000E-01  -0.49751E-01
0.17500E-01  -0.53568E-01
0.20000E-01  -0.57036E-01
0.22500E-01  -0.60207E-01
0.25000E-01  -0.63120E-01
0.27500E-01  -0.65805E-01
0.30000E-01  -0.68285E-01
0.32500E-01  -0.70582E-01
0.35000E-01  -0.72709E-01
0.37500E-01  -0.74682E-01
0.40000E-01  -0.76513E-01
0.42500E-01  -0.78211E-01
0.45000E-01  -0.79786E-01
0.47500E-01  -0.81247E-01
0.50000E-01  -0.82600E-01
0.52500E-01  -0.83853E-01
0.55000E-01  -0.85012E-01
0.57500E-01  -0.86083E-01
0.60000E-01  -0.87071E-01
0.62500E-01  -0.87980E-01
0.65000E-01  -0.88817E-01
0.67500E-01  -0.89584E-01
0.70000E-01  -0.90286E-01
0.72500E-01  -0.90927E-01
0.75000E-01  -0.91510E-01
0.77500E-01  -0.92038E-01
0.80000E-01  -0.92515E-01
0.82500E-01  -0.92943E-01
0.85000E-01  -0.93326E-01
0.87500E-01  -0.93666E-01
0.90000E-01  -0.93965E-01
0.92500E-01  -0.94226E-01
0.95000E-01  -0.94450E-01
0.97500E-01  -0.94640E-01
0.10000E+00  -0.94798E-01
0.12500E+00  -0.94947E-01
0.15000E+00  -0.93237E-01
0.17500E+00  -0.90167E-01
0.20000E+00  -0.85664E-01
0.22500E+00  -0.79219E-01
0.25000E+00  -0.70049E-01
0.27500E+00  -0.57277E-01
0.30000E+00  -0.40149E-01
0.32500E+00  -0.18259E-01
0.35000E+00   0.82924E-02
0.37500E+00   0.38816E-01
0.40000E+00   0.72089E-01
0.42500E+00   0.10653E+00
0.45000E+00   0.14047E+00
0.47500E+00   0.17239E+00
0.50000E+00   0.20116E+00
0.52500E+00   0.22608E+00
0.55000E+00   0.24692E+00
0.57500E+00   0.26379E+00
0.60000E+00   0.27703E+00
0.62500E+00   0.28708E+00
0.65000E+00   0.29445E+00
0.67500E+00   0.29958E+00
0.70000E+00   0.30288E+00
0.72500E+00   0.30468E+00
0.75000E+00   0.30523E+00
0.77500E+00   0.30472E+00
0.80000E+00   0.30327E+00
0.82500E+00   0.30096E+00
0.85000E+00   0.29777E+00
0.87500E+00   0.29362E+00
0.90000E+00   0.28832E+00
0.92500E+00   0.28138E+00
0.95000E+00   0.27175E+00
0.97500E+00   0.23799E+00
0.99000E+00   0.14478E+00
