# COMPASS 2010: Phys. Lett. B 693 (2010) 227
#
# <Q^2> = 3.0 GeV^2


x  du  Edu  dd  Edd  dub  Edub  ddb  Eddb  ds  Eds
0.0052  0.0274  0.0000  0.0060  0.0242  -0.0036  0.0134  -0.0070  0.0204  -0.0230  0.0093
0.0079  0.0358  0.0000  -0.0432  0.0173  -0.0043  0.0075  0.0108  0.0118  0.0012  0.0049
0.0142  0.0209  0.0000  -0.0274  0.0167  0.0234  0.0060  -0.0128  0.0088  -0.0054  0.0035
0.0245  0.0516  0.0000  -0.0516  0.0000  0.0081  0.0092  0.0005  0.0136  0.0069  0.0051
0.0348  0.0897  0.0000  -0.0729  0.0185  0.0051  0.0118  -0.0209  0.0182  0.0052  0.0065
0.0488  0.0859  0.0000  -0.0479  0.0000  0.0207  0.0110  -0.0383  0.0174  -0.0034  0.0060
0.0769  0.1440  0.0000  -0.0906  0.0195  -0.0096  0.0113  -0.0036  0.0187  0.0024  0.0064
0.1220  0.1612  0.0000  -0.0581  0.0298  -0.0013  0.0154  -0.0144  0.0260  0.0060  0.0085
0.1727  0.2197  0.0242  -0.1101  0.0418  -0.0046  0.0216  0.0206  0.0365  -0.0022  0.0115
0.2433  0.3405  0.0219  -0.1631  0.0428  -0.0020  0.0206  -0.0299  0.0344  -0.0026  0.0110
