# data set from A. Deur (received May 31, 2019)
# 7-12: JLab-E06-014     
# 13-15: JLab-E99-117
# 16-24: HERMES
# 25-29: JLab-EG1b
x  du/u  Edu/u  dd/d  Edd/d
0.277  0.423  0.033  -0.160  0.098
0.325  0.484  0.037  -0.283  0.064
0.374  0.515  0.044  -0.241  0.062
0.424  0.569  0.051  -0.499  0.074
0.474  0.595  0.063  -0.559  0.101
0.548  0.598  0.077  -0.356  0.170
0.33  0.545  0.025  -0.352  0.045
0.47  0.649  0.058  -0.393  0.080
0.60  0.728  0.114  -0.440  0.159
0.03253  0.10178  0.01527  -0.12690  0.05869
0.04668  0.10178  0.01018  -0.06091  0.06354
0.06513  0.14249  0.01781  -0.12690  0.06870
0.08576  0.19084  0.02036  -0.13706  0.08387
0.11838  0.21120  0.02036  -0.20305  0.09915
0.16729  0.25954  0.02799  -0.23858  0.13970
0.24445  0.34606  0.03308  -0.22843  0.21562
0.34127  0.37405  0.04089  100000   0
0.46392  0.65394  0.07124  100000   0
0.20421  0.37512  0.00508  -0.34247  0.08651
0.29992  0.42056  0.00508  -0.24529  0.08142
0.39349  0.49646  0.01776  -0.23973  0.11705
0.49133  0.52667  0.03045  -0.07129  0.09339
0.58403  0.69141  0.06599  -0.44741  0.57660




