x	dA1p_stat
0.0625	0.000922166195
0.5375	0.0006502822316
0.1125	0.000638007769
0.1375	0.0007010893908
0.1625	0.0007781123863
0.1875	0.0008760355403
0.2125	0.0009857747313
0.2375	0.001113198249
0.2625	0.001264570559
0.2875	0.001400048834
0.3125	0.001406724612
0.3375	0.001601369172
0.3625	0.00173754109
0.3875	0.001927514375
0.425	0.00156355453
0.475	0.001910468859
0.525	0.002392123268
0.575	0.002900107236
0.625	0.003767914178
0.675	0.004997773542
0.725	0.007082515241
0.775	0.01060190326
0.825	0.02000009507
0.875	0.2616510725
