x             A1n 
1.0000000E-05 -4.6525467E-03
1.0010000E-02 -4.2562220E-02
2.0010000E-02 -7.0625435E-02
3.0010000E-02 -9.1796942E-02
4.0010000E-02 -1.0794934E-01
5.0010000E-02 -1.2032671E-01
6.0010000E-02 -1.2978770E-01
7.0010000E-02 -1.3694389E-01
8.0010000E-02 -1.4224252E-01
9.0010000E-02 -1.4601807E-01
1.0001000E-01 -1.4852556E-01
1.1001000E-01 -1.4996269E-01
1.2001000E-01 -1.5048495E-01
1.3001000E-01 -1.5021624E-01
1.4001000E-01 -1.4925634E-01
1.5001000E-01 -1.4768644E-01
1.6001000E-01 -1.4557319E-01
1.7001000E-01 -1.4297167E-01
1.8001000E-01 -1.3992774E-01
1.9001000E-01 -1.3647978E-01
2.0001000E-01 -1.3266008E-01
2.1001000E-01 -1.2849590E-01
2.2001000E-01 -1.2401034E-01
2.3001000E-01 -1.1922301E-01
2.4001000E-01 -1.1415055E-01
2.5001000E-01 -1.0880715E-01
2.6001000E-01 -1.0320484E-01
2.7001000E-01 -9.7353810E-02
2.8001000E-01 -9.1262678E-02
2.9001000E-01 -8.4938670E-02
3.0001000E-01 -7.8387797E-02
3.1001000E-01 -7.1615000E-02
3.2001000E-01 -6.4624270E-02
3.3001000E-01 -5.7418748E-02
3.4001000E-01 -5.0000812E-02
3.5001000E-01 -4.2372151E-02
3.6001000E-01 -3.4533823E-02
3.7001000E-01 -2.6486313E-02
3.8001000E-01 -1.8229575E-02
3.9001000E-01 -9.7630715E-03
4.0001000E-01 -1.0858067E-03
4.1001000E-01 7.8036452E-03
4.2001000E-01 1.6907116E-02
4.3001000E-01 2.6226822E-02
4.4001000E-01 3.5765348E-02
4.5001000E-01 4.5525631E-02
4.6001000E-01 5.5510945E-02
4.7001000E-01 6.5724895E-02
4.8001000E-01 7.6171403E-02
4.9001000E-01 8.6854700E-02
5.0001000E-01 9.7779322E-02
5.1001000E-01 1.0895010E-01
5.2001000E-01 1.2037216E-01
5.3001000E-01 1.3205089E-01
5.4001000E-01 1.4399200E-01
5.5001000E-01 1.5620144E-01
5.6001000E-01 1.6868543E-01
5.7001000E-01 1.8145045E-01
5.8001000E-01 1.9450326E-01
5.9001000E-01 2.0785082E-01
6.0001000E-01 2.2150036E-01
6.1001000E-01 2.3545931E-01
6.2001000E-01 2.4973530E-01
6.3001000E-01 2.6433615E-01
6.4001000E-01 2.7926985E-01
6.5001000E-01 2.9454451E-01
6.6001000E-01 3.1016834E-01
6.7001000E-01 3.2614962E-01
6.8001000E-01 3.4249662E-01
6.9001000E-01 3.5921757E-01
7.0001000E-01 3.7632060E-01
7.1001000E-01 3.9381360E-01
7.2001000E-01 4.1170419E-01
7.3001000E-01 4.2999955E-01
7.4001000E-01 4.4870629E-01
7.5001000E-01 4.6783030E-01
7.6001000E-01 4.8737652E-01
7.7001000E-01 5.0734871E-01
7.8001000E-01 5.2774916E-01
7.9001000E-01 5.4857832E-01
8.0001000E-01 5.6983442E-01
8.1001000E-01 5.9151293E-01
8.2001000E-01 6.1360597E-01
8.3001000E-01 6.3610158E-01
8.4001000E-01 6.5898279E-01
8.5001000E-01 6.8222656E-01
8.6001000E-01 7.0580241E-01
8.7001000E-01 7.2967074E-01
8.8001000E-01 7.5378077E-01
8.9001000E-01 7.7806782E-01
9.0001000E-01 8.0244995E-01
9.1001000E-01 8.2682349E-01
9.2001000E-01 8.5105706E-01
9.3001000E-01 8.7498341E-01
9.4001000E-01 8.9838773E-01
9.5001000E-01 9.2099019E-01
9.6001000E-01 9.4241799E-01
9.7001000E-01 9.6215644E-01
9.8001000E-01 9.7945028E-01
9.9001000E-01 9.9305151E-01
