x         A1n 
0.2971250 0.3960410E-01
0.3460760 0.5940610E-01
0.4066820 0.8795410E-01
0.4696190 0.1188120    
0.5185700 0.1498350    
0.5641020 0.1831690    
0.6001550 0.2166670    
0.6363630 0.2562710    
0.6689970 0.2934000    
0.7050500 0.3391100    
0.7319340 0.3787140    
0.7599060 0.4207930    
0.7832160 0.4579220    
0.8111880 0.5024770    
0.8344980 0.5434010    
0.8612270 0.5940610    
0.8834490 0.6410910    
0.9114210 0.7054480    
0.9055160 0.7401010    
0.8601390 0.6547870    
0.8205120 0.5953810    
0.7902090 0.5495070    
0.7552440 0.4963710    
0.7167050 0.4455460    
0.6817400 0.4009910    
0.6421130 0.3528060    
0.6071480 0.3132020    
0.5768450 0.2810240    
0.5372180 0.2401000    
0.4988340 0.2054460    
0.4579640 0.1757430    
0.4172490 0.1485150    
0.3717170 0.1250830    
0.3344210 0.1064360    
0.2971250 0.9158440E-01
0.2971250 0.3960410E-01 
