x             A1n
1.0000000E-05 -4.6525460E-03
1.0010000E-02 -4.1900170E-02
2.0010000E-02 -6.8344604E-02
3.0010000E-02 -8.7284787E-02
4.0010000E-02 -1.0078334E-01
5.0010000E-02 -1.1019576E-01
6.0010000E-02 -1.1644926E-01
7.0010000E-02 -1.2019928E-01
8.0010000E-02 -1.2192203E-01
9.0010000E-02 -1.2197172E-01
1.0001000E-01 -1.2061706E-01
1.1001000E-01 -1.1806550E-01
1.2001000E-01 -1.1447961E-01
1.3001000E-01 -1.0998852E-01
1.4001000E-01 -1.0469600E-01
1.5001000E-01 -9.8686338E-02
1.6001000E-01 -9.2028647E-02
1.7001000E-01 -8.4780091E-02
1.8001000E-01 -7.6988325E-02
1.9001000E-01 -6.8693371E-02
2.0001000E-01 -5.9929072E-02
2.1001000E-01 -5.0724235E-02
2.2001000E-01 -4.1103537E-02
2.3001000E-01 -3.1088247E-02
2.4001000E-01 -2.0696815E-02
2.5001000E-01 -9.9453495E-03
2.6001000E-01 1.1519885E-03
2.7001000E-01 1.2582662E-02
2.8001000E-01 2.4335486E-02
2.9001000E-01 3.6400392E-02
3.0001000E-01 4.8768242E-02
3.1001000E-01 6.1430652E-02
3.2001000E-01 7.4379856E-02
3.3001000E-01 8.7608573E-02
3.4001000E-01 1.0110990E-01
3.5001000E-01 1.1487722E-01
3.6001000E-01 1.2890409E-01
3.7001000E-01 1.4318420E-01
3.8001000E-01 1.5771128E-01
3.9001000E-01 1.7247902E-01
4.0001000E-01 1.8748105E-01
4.1001000E-01 2.0271084E-01
4.2001000E-01 2.1816167E-01
4.3001000E-01 2.3382659E-01
4.4001000E-01 2.4969837E-01
4.5001000E-01 2.6576941E-01
4.6001000E-01 2.8203178E-01
4.7001000E-01 2.9847712E-01
4.8001000E-01 3.1509661E-01
4.9001000E-01 3.3188095E-01
5.0001000E-01 3.4882034E-01
5.1001000E-01 3.6590440E-01
5.2001000E-01 3.8312218E-01
5.3001000E-01 4.0046212E-01
5.4001000E-01 4.1791200E-01
5.5001000E-01 4.3545897E-01
5.6001000E-01 4.5308947E-01
5.7001000E-01 4.7078926E-01
5.8001000E-01 4.8854334E-01
5.9001000E-01 5.0633602E-01
6.0001000E-01 5.2415083E-01
6.1001000E-01 5.4197057E-01
6.2001000E-01 5.5977727E-01
6.3001000E-01 5.7755222E-01
6.4001000E-01 5.9527593E-01
6.5001000E-01 6.1292821E-01
6.6001000E-01 6.3048811E-01
6.7001000E-01 6.4793398E-01
6.8001000E-01 6.6524350E-01
6.9001000E-01 6.8239369E-01
7.0001000E-01 6.9936095E-01
7.1001000E-01 7.1612110E-01
7.2001000E-01 7.3264945E-01
7.3001000E-01 7.4892081E-01
7.4001000E-01 7.6490962E-01
7.5001000E-01 7.8058991E-01
7.6001000E-01 7.9593550E-01
7.7001000E-01 8.1091995E-01
7.8001000E-01 8.2551676E-01
7.9001000E-01 8.3969938E-01
8.0001000E-01 8.5344130E-01
8.1001000E-01 8.6671623E-01
8.2001000E-01 8.7949810E-01
8.3001000E-01 8.9176125E-01
8.4001000E-01 9.0348046E-01
8.5001000E-01 9.1463115E-01
8.6001000E-01 9.2518939E-01
8.7001000E-01 9.3513211E-01
8.8001000E-01 9.4443713E-01
8.9001000E-01 9.5308333E-01
9.0001000E-01 9.6105072E-01
9.1001000E-01 9.6832055E-01
9.2001000E-01 9.7487542E-01
9.3001000E-01 9.8069938E-01
9.4001000E-01 9.8577799E-01
9.5001000E-01 9.9009843E-01
9.6001000E-01 9.9364954E-01
9.7001000E-01 9.9642194E-01
9.8001000E-01 9.9840801E-01
9.9001000E-01 9.9960199E-01
