  x	u	d
  0.005	0.0310594434	-0.0414283968
  0.01	0.0557317726	-0.0722287464
  0.015	0.0761084853	-0.0994415817
  0.02	0.0934594509	-0.12360292
  0.025	0.108600271	-0.145146028
  0.03	0.122078714	-0.164424897
  0.035	0.1342763	-0.181731556
  0.04	0.145466907	-0.197309047
  0.045	0.155852218	-0.211361261
  0.05	0.165584027	-0.224060502
  0.055	0.174778754	-0.235553358
  0.06	0.183527169	-0.245965312
  0.065	0.191901082	-0.255404392
  0.07	0.199958033	-0.26396409
  0.075	0.207744663	-0.271725716
  0.08	0.215299168	-0.278760305
  0.085	0.22265312	-0.285130179
  0.09	0.229832837	-0.29089023
  0.095	0.23686042	-0.296088984
  0.1	0.243754564	-0.300769488
  0.105	0.250531179	-0.30497005
  0.11	0.257203886	-0.308724863
  0.115	0.263784407	-0.312064535
  0.12	0.270282877	-0.315016534
  0.125	0.276708103 	-0.317605575
  0.13	0.283067762 	-0.319853941
  0.135	0.289368577 	-0.321781774
  0.14	0.295616453	-0.323407309
  0.145	0.301816592 	-0.324747092
  0.15	0.30797359 	-0.32581616
  0.155	0.31409152	-0.326628199
  0.16	0.320173995 	-0.327195689
  0.165	0.32622423 	-0.327530021
  0.17	0.332245088 	-0.32764161
  0.175	0.338239127 	-0.327539983
  0.18	0.344208627 	-0.327233873
  0.185	0.350155631 	-0.326731283
  0.19	0.356081965 	-0.32603956
  0.195	0.361989261 	-0.325165452
  0.2	0.367878983 	-0.324115158
  0.205	0.373752438 	-0.322894379
  0.21	0.379610795 	-0.321508355
  0.215	0.385455098 	-0.319961911
  0.22	0.391286277 	-0.318259482
  0.225	0.39710516 	-0.316405151
  0.23 	0.40291248 	-0.314402673
  0.235	0.408708886	-0.312255501
  0.24 	0.414494947	-0.309966808
  0.245	0.420271162 	-0.307539511
  0.25 	0.426037964 	-0.304976285
  0.255	0.431795724 	-0.302279585
  0.26 	0.43754476 	-0.299451655
  0.265	0.443285336 	-0.296494552
  0.27 	0.449017669 	-0.293410148
  0.275	0.45474193 	-0.290200153
  0.28 	0.460458251 	-0.286866117
  0.285	0.466166725 	-0.283409444
  0.29 	0.471867406 	-0.279831403
  0.295	0.477560317 	-0.276133133
