x Q2 A1p stat syst
6.3500000E-02 5.0000000E+00 1.2850000E-01 9.2216619E-04 0.0000000E+00
1.1350000E-01 5.0000000E+00 1.9950000E-01 6.3800777E-04 0.0000000E+00
1.3850000E-01 5.0000000E+00 2.3250000E-01 7.0108939E-04 0.0000000E+00
1.6350000E-01 5.0000000E+00 2.6375000E-01 7.7811239E-04 0.0000000E+00
1.8850000E-01 5.0000000E+00 2.9325000E-01 8.7603554E-04 0.0000000E+00
2.1350000E-01 5.0000000E+00 3.2150000E-01 9.8577473E-04 0.0000000E+00
2.3850000E-01 5.0000000E+00 3.4850000E-01 1.1131982E-03 0.0000000E+00
2.6350000E-01 5.0000000E+00 3.7475000E-01 1.2645706E-03 0.0000000E+00
2.8850000E-01 5.0000000E+00 4.0025000E-01 1.4000488E-03 0.0000000E+00
3.1350000E-01 5.0000000E+00 4.2500000E-01 1.4067246E-03 0.0000000E+00
3.3850000E-01 5.0000000E+00 4.4900000E-01 1.6013692E-03 0.0000000E+00
3.6350000E-01 5.0000000E+00 4.7250000E-01 1.7375411E-03 0.0000000E+00
3.8850000E-01 5.0000000E+00 4.9550000E-01 1.9275144E-03 0.0000000E+00
4.2600000E-01 5.0000000E+00 5.2850000E-01 1.5635545E-03 0.0000000E+00
4.7600000E-01 5.0000000E+00 5.7050000E-01 1.9104689E-03 0.0000000E+00
5.2600000E-01 5.0000000E+00 6.1050000E-01 2.3921233E-03 0.0000000E+00
5.7600000E-01 5.0000000E+00 6.4900000E-01 2.9001072E-03 0.0000000E+00
6.2600000E-01 5.0000000E+00 6.8550000E-01 3.7679142E-03 0.0000000E+00
6.7600000E-01 5.0000000E+00 7.2050000E-01 4.9977735E-03 0.0000000E+00
7.2600000E-01 5.0000000E+00 7.5450000E-01 7.0825152E-03 0.0000000E+00
7.7600000E-01 5.0000000E+00 7.8650000E-01 1.0601903E-02 0.0000000E+00
8.2600000E-01 5.0000000E+00 8.1700000E-01 2.0000095E-02 0.0000000E+00
8.7600000E-01 5.0000000E+00 8.4650000E-01 2.6165107E-01 0.0000000E+00
